id,section_code,section_ref,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type,order_in_section
P30,P,Metal Work,,P30,,Holes and slots,"(a) Holes for pipes, tubes, bars, cables, conduits and the like members (grouped together)",clause,38
P31,P,Metal Work,,P31,,Bolts,"Bolts, anchor-bolts, ragbolts, and the like (except where deemed to be included or where given in the",clause,39
Q_HEADER,Q,Plumbing and Engineering Installations,,,,,Plumbing and Engineering Installations,section_header,1
Q_SUB_2,Q,Plumbing and Engineering Installations,Gutterwork,,,,Gutterwork,subsection,2
Q_SUB_3,Q,Plumbing and Engineering Installations,Pipework,,,,Pipework,subsection,3
Q_SUB_4,Q,Plumbing and Engineering Installations,Ductwork,,,,Ductwork,subsection,4
Q_SUB_5,Q,Plumbing and Engineering Installations,Equipment,,,,Equipment,subsection,5
Q_SUB_6,Q,Plumbing and Engineering Installations,Thermal insulation,,,,Thermal insulation,subsection,6
Q_SUB_7,Q,Plumbing and Engineering Installations,Builders work,,,,Builders work,subsection,7
Q1,Q,Plumbing and Engineering Installations,,Q1,,Plumbing and,(a) Work shall be grouped as follows and each group shall be given under an appropriate,clause,8
